product_category,product_name,product_img_url,product_source,product_price,idx
dress,Color Cocktail,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9766841/2019/5/22/bc0e545e-7f54-4d33-9444-73fd6b076c701558508896923-Color-Cocktail-Women-Grey-Solid-Shirt-Dress-5661558508895226-1.jpg",dresses/color-cocktail/color-cocktail-women-brown-solid-shirt-dress/9766841/buy,Rs. 899,1640
bags,WOMEN MARKS,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16513420/2021/12/14/7a1bde13-9d95-492b-870e-e47babcacab21639487153033WOMENMARKSPinkFloralPrintedPUOversizedStructuredSlingBag1.jpg",handbags/women-marks/women-marks-pink--yellow-floral-printed-pu-structured-sling-bag/16513420/buy,Rs. 593,20
dress,H&M,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16395160/2021/12/7/6b9f3f90-127f-49bd-ac83-c36b64cfd0621638871882717Sequinedslit-detaildress1.jpg",dresses/hm/hm-women-brown-midi-a-line-sequined-slit-detail-dress/16395160/buy,Rs. 1949,2123
shorts,Roadster,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12069704/2020/8/11/edeb76ce-fec5-4125-b825-6883488043fe1597145269373-Roadster-Women-Navy-Blue-Washed-Regular-Fit--Distressed-Deni-1.jpg",shorts/roadster/roadster-women-navy-blue-washed-regular-fit--distressed-denim-shorts/12069704/buy,Rs. 524,1041
shirt,INVICTUS,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8352591/2020/2/19/b42dc62c-cbbe-4b20-b048-2af79e0682e31582090843793-INVICTUS-Men-Black--White-Slim-Fit-Striped-Casual-Shirt-5711-1.jpg",shirts/invictus/invictus-men-black--white-slim-fit-striped-casual-shirt/8352591/buy,Rs. 799,2423
t-shirt,Nautica,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11487344/2020/6/17/7da4a446-d917-4087-8a2f-9b1f2c5636321592396340241-Nautica-Men-Tshirts-8421592396338574-1.jpg",tshirts/nautica/nautica-men-white--navy-blue-striped-polo-collar-pure-cotton-t-shirt/11487344/buy,Rs. 1259,2103
heels,Shoetopia,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13334072/2021/1/27/e60133b2-2bf8-47df-8a11-bd5db87bc9ac1611725913234-Shoetopia-Women-Black-Solid-Peep-Toes-9341611725911531-1.jpg",heels/shoetopia/shoetopia-women-black-solid-peep-toed-platform-heels/13334072/buy,Rs. 1197,806
shoes,Kipsta By Decathlon,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12992896/2022/5/18/d1b257c6-bd4b-4708-a4f8-6501730f4dc21652863773922KipstaByDecathlonMenBluePUFootballShoes1.jpg",sports-shoes/kipsta-by-decathlon/kipsta-by-decathlon-men-blue-pu-football-shoes/12992896/buy,Rs. 1899,584
t-shirt,Roadster,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17334022/2022/5/13/d2602012-8f13-4c8c-a3a0-7cfdb6e36f7e1652439300878-Roadster-Men-Tshirts-3301652439300354-1.jpg",tshirts/roadster/roadster-men-navy-blue-typography-printed-pure-cotton-t-shirt/17334022/buy,Rs. 324,2208
sneakers,HIGHLANDER,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15503134/2022/2/3/9247ed55-c3c4-472b-b2f8-e399feb1ac411643889388212HIGHLANDERMenNavyBlueColourblockedPUSneakers1.jpg",casual-shoes/highlander/highlander-men-navy-blue-colourblocked-pu-sneakers/15503134/buy,Rs. 878,317
sneakers,Woodland,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10554666/2022/4/25/4bd52d6e-fee4-40db-bacd-93c3a7d861db1650883914679WoodlandMenKhakiNubuckLeatherSneakers1.jpg",casual-shoes/woodland/woodland-men-khaki-nubuck-leather-sneakers/10554666/buy,Rs. 2596,1777
shirt,Nautica,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15353362/2021/10/12/a1b3929f-8647-47c5-9763-2a4c7d3ad7ae1634038697024-Nautica-Men-Shirts-6681634038696499-1.jpg",shirts/nautica/nautica-men-blue--white-pure-cotton-slim-fit-printed-casual-shirt/15353362/buy,Rs. 1199,2468
